,product_name,year,district,planted_area,production_amount
324,KARPUZ,2020,İzmir(Bayındır),1450,6525
325,KARPUZ,2020,İzmir(Bergama),1250,2750
326,KARPUZ,2020,İzmir(Menderes),1200,4800
327,KARPUZ,2020,İzmir(Tire),850,2550
328,KARPUZ,2020,İzmir(Torbalı),1130,4803
329,KARPUZ,2020,İzmir(Ödemiş),2000,9000
330,KARPUZ,2021,İzmir(Bayındır),1408,6336
331,KARPUZ,2021,İzmir(Bergama),214,471
332,KARPUZ,2021,İzmir(Menderes),1103,4412
333,KARPUZ,2021,İzmir(Tire),773,2319
334,KARPUZ,2021,İzmir(Torbalı),1250,5313
335,KARPUZ,2021,İzmir(Ödemiş),2500,11250
336,KARPUZ,2022,İzmir(Bayındır),1450,6525
337,KARPUZ,2022,İzmir(Bergama),99,218
338,KARPUZ,2022,İzmir(Menderes),1103,4412
339,KARPUZ,2022,İzmir(Tire),1155,3465
340,KARPUZ,2022,İzmir(Torbalı),1200,5400
341,KARPUZ,2022,İzmir(Ödemiş),5000,22500
342,KARPUZ,2023,İzmir(Bayındır),1500,6750
343,KARPUZ,2023,İzmir(Bergama),57,126
344,KARPUZ,2023,İzmir(Menderes),1103,4412
345,KARPUZ,2023,İzmir(Tire),1026,3078
346,KARPUZ,2023,İzmir(Torbalı),1250,5000
347,KARPUZ,2023,İzmir(Ödemiş),2500,11250
348,KARPUZ,2024,İzmir(Bayındır),1500,6750
349,KARPUZ,2024,İzmir(Bergama),201,443
350,KARPUZ,2024,İzmir(Menderes),1103,4412
351,KARPUZ,2024,İzmir(Tire),1350,4050
352,KARPUZ,2024,İzmir(Torbalı),1685,6740
353,KARPUZ,2024,İzmir(Ödemiş),2500,11250
354,KARPUZ,2025,İzmir(Bayındır),2415,10868
355,KARPUZ,2025,İzmir(Bergama),222,489
356,KARPUZ,2025,İzmir(Menderes),1500,6000
357,KARPUZ,2025,İzmir(Tire),2100,9450
358,KARPUZ,2025,İzmir(Torbalı),2550,11475
359,KARPUZ,2025,İzmir(Ödemiş),2500,12500
360,PATLICAN UZUN,2014,İzmir(Bayındır),2000,6600
361,PATLICAN UZUN,2014,İzmir(Bergama),1400,2520
362,PATLICAN UZUN,2014,İzmir(Menderes),410,1046
363,PATLICAN UZUN,2014,İzmir(Tire),1500,4500
364,PATLICAN UZUN,2014,İzmir(Torbalı),519,1555
365,PATLICAN UZUN,2014,İzmir(Ödemiş),1500,6000
366,PATLICAN UZUN,2015,İzmir(Bayındır),1000,3300
367,PATLICAN UZUN,2015,İzmir(Bergama),1400,2520
368,PATLICAN UZUN,2015,İzmir(Menderes),420,1076
369,PATLICAN UZUN,2015,İzmir(Tire),1480,4440
370,PATLICAN UZUN,2015,İzmir(Torbalı),250,748
371,PATLICAN UZUN,2015,İzmir(Ödemiş),1500,6000
372,PATLICAN UZUN,2016,İzmir(Bayındır),1000,3300
373,PATLICAN UZUN,2016,İzmir(Bergama),1400,2520
374,PATLICAN UZUN,2016,İzmir(Menderes),530,1451
375,PATLICAN UZUN,2016,İzmir(Tire),1500,4575
376,PATLICAN UZUN,2016,İzmir(Torbalı),355,1063
377,PATLICAN UZUN,2016,İzmir(Ödemiş),1500,6000
378,PATLICAN UZUN,2017,İzmir(Bayındır),1000,3300
379,PATLICAN UZUN,2017,İzmir(Bergama),1200,2160
380,PATLICAN UZUN,2017,İzmir(Menderes),861,2234
381,PATLICAN UZUN,2017,İzmir(Tire),1500,4500
382,PATLICAN UZUN,2017,İzmir(Torbalı),385,1153
383,PATLICAN UZUN,2017,İzmir(Ödemiş),1900,7600
384,PATLICAN UZUN,2018,İzmir(Bayındır),1000,3300
385,PATLICAN UZUN,2018,İzmir(Bergama),1200,2160
386,PATLICAN UZUN,2018,İzmir(Menderes),961,2584
387,PATLICAN UZUN,2018,İzmir(Tire),500,1500
388,PATLICAN UZUN,2018,İzmir(Torbalı),331,990
389,PATLICAN UZUN,2018,İzmir(Ödemiş),2000,8000
390,PATLICAN UZUN,2019,İzmir(Bayındır),800,2640
391,PATLICAN UZUN,2019,İzmir(Bergama),1200,2160
392,PATLICAN UZUN,2019,İzmir(Menderes),1501,4153
393,PATLICAN UZUN,2019,İzmir(Tire),520,1560
394,PATLICAN UZUN,2019,İzmir(Torbalı),455,1318
395,PATLICAN UZUN,2019,İzmir(Ödemiş),2000,8000
396,PATLICAN UZUN,2020,İzmir(Bayındır),300,1200
397,PATLICAN UZUN,2020,İzmir(Bergama),1200,2160
398,PATLICAN UZUN,2020,İzmir(Menderes),2150,7800
399,PATLICAN UZUN,2020,İzmir(Tire),185,555
400,PATLICAN UZUN,2020,İzmir(Torbalı),180,504
401,PATLICAN UZUN,2020,İzmir(Ödemiş),1500,6000
402,PATLICAN UZUN,2021,İzmir(Bayındır),400,1600
403,PATLICAN UZUN,2021,İzmir(Bergama),77,139
404,PATLICAN UZUN,2021,İzmir(Menderes),2150,7800
405,PATLICAN UZUN,2021,İzmir(Tire),168,504
406,PATLICAN UZUN,2021,İzmir(Torbalı),245,704
407,PATLICAN UZUN,2021,İzmir(Ödemiş),150,600
408,PATLICAN UZUN,2022,İzmir(Bayındır),350,1401
409,PATLICAN UZUN,2022,İzmir(Bergama),52,94
410,PATLICAN UZUN,2022,İzmir(Menderes),2150,7802
411,PATLICAN UZUN,2022,İzmir(Tire),,
412,PATLICAN UZUN,2022,İzmir(Torbalı),176,536
413,PATLICAN UZUN,2022,İzmir(Ödemiş),150,600
414,PATLICAN UZUN,2023,İzmir(Bayındır),350,1401
415,PATLICAN UZUN,2023,İzmir(Bergama),46,83
416,PATLICAN UZUN,2023,İzmir(Menderes),2155,7830
417,PATLICAN UZUN,2023,İzmir(Tire),,
418,PATLICAN UZUN,2023,İzmir(Torbalı),128,324
419,PATLICAN UZUN,2023,İzmir(Ödemiş),700,2800
420,PATLICAN UZUN,2024,İzmir(Bayındır),400,1600
421,PATLICAN UZUN,2024,İzmir(Bergama),457,826
422,PATLICAN UZUN,2024,İzmir(Menderes),2405,12150
423,PATLICAN UZUN,2024,İzmir(Tire),,
424,PATLICAN UZUN,2024,İzmir(Torbalı),280,716
425,PATLICAN UZUN,2024,İzmir(Ödemiş),700,2800
426,PATLICAN UZUN,2025,İzmir(Bayındır),352,1408
427,PATLICAN UZUN,2025,İzmir(Bergama),389,703
428,PATLICAN UZUN,2025,İzmir(Menderes),1900,8500
429,PATLICAN UZUN,2025,İzmir(Tire),,
430,PATLICAN UZUN,2025,İzmir(Torbalı),240,616
431,PATLICAN UZUN,2025,İzmir(Ödemiş),500,2000
432,SOGAN KURU,2014,İzmir(Bayındır),,
433,SOGAN KURU,2014,İzmir(Bergama),950,1805
434,SOGAN KURU,2014,İzmir(Menderes),,
435,SOGAN KURU,2014,İzmir(Tire),,
436,SOGAN KURU,2014,İzmir(Torbalı),,
437,SOGAN KURU,2014,İzmir(Ödemiş),50,100
438,SOGAN KURU,2015,İzmir(Bayındır),,
439,SOGAN KURU,2015,İzmir(Bergama),950,1805
440,SOGAN KURU,2015,İzmir(Menderes),,
441,SOGAN KURU,2015,İzmir(Tire),,
442,SOGAN KURU,2015,İzmir(Torbalı),,
443,SOGAN KURU,2015,İzmir(Ödemiş),50,100
444,SOGAN KURU,2016,İzmir(Bayındır),,
445,SOGAN KURU,2016,İzmir(Bergama),1000,1900
446,SOGAN KURU,2016,İzmir(Menderes),,
447,SOGAN KURU,2016,İzmir(Tire),,
448,SOGAN KURU,2016,İzmir(Torbalı),,
449,SOGAN KURU,2016,İzmir(Ödemiş),30,60
450,SOGAN KURU,2017,İzmir(Bayındır),,
451,SOGAN KURU,2017,İzmir(Bergama),900,1701
452,SOGAN KURU,2017,İzmir(Menderes),,
453,SOGAN KURU,2017,İzmir(Tire),,
