_id,TARIH,MAL_TURU,MAL_ADI,BIRIM,ASGARI_UCRET,AZAMI_UCRET,ORTALAMA_UCRET
284,2024-01-04T00:00:00,MEYVE,HÜNNAP,kg,11.0,40.0,25.5
285,2024-01-04T00:00:00,MEYVE,ELMA  ARJANTİN,kg,10.0,32.0,21
286,2024-01-04T00:00:00,İTHAL,SARIMSAK  İTHAL,kg,20.0,140.0,80
287,2024-01-04T00:00:00,MEYVE,PORTAKAL WASHINGTON,kg,7.0,18.0,12.5
288,2024-01-04T00:00:00,MEYVE,ÜZÜM  BEYAZ,kg,10.0,75.0,42.5
289,2024-01-04T00:00:00,SEBZE,BİBER  MEKSİKA,kg,8.0,50.0,29
290,2024-01-04T00:00:00,MEYVE,ÜZÜM  SİYAH,kg,23.0,60.0,41.5
291,2024-01-04T00:00:00,SEBZE,ALABAŞ,kg,4.0,15.0,9.5
292,2024-01-04T00:00:00,MEYVE,MANDALİNA SATSUMA,kg,5.0,17.0,11
293,2024-01-04T00:00:00,SEBZE,DOMATES SALKIM  (İYİ TARIM),kg,10.0,35.0,22.5
294,2024-01-04T00:00:00,SEBZE,DOMATES PEMBE,kg,10.0,40.0,25
295,2024-01-04T00:00:00,SEBZE,HAVUÇ(TAKOZ),kg,5.0,26.0,15.5
296,2024-01-04T00:00:00,MEYVE,LİMON LAMAS,kg,6.0,17.0,11.5
297,2024-01-04T00:00:00,SEBZE,PATATES TAZE,kg,5.0,20.0,12.5
