|||Sütunlar||||||
Satırlar|||İzmir(Bayındır)-1178|İzmir(Bergama)-1181|İzmir(Menderes)-1826|İzmir(Tire)-1677|İzmir(Torbalı)-1682|İzmir(Ödemiş)-1563|
|||||||||
|||||||||
||2025|258.0|346.0|80.0||3750.0||
|Ekilen Alan ve 01.13.49.03.01. (Turp (Bayır)) - Dekar|2013||70.0||||100.0|
||2014||70.0||||100.0|
||2015||70.0||||100.0|
||2016||70.0||||100.0|
||2017||70.0||||100.0|
||2018||70.0||||50.0|
||2019||70.0||||30.0|
||2020||70.0||||20.0|
||2021||2.0||||10.0|
||2022||2.0|||||
||2023||8.0|||||
||2024||27.0|||||
||2025||17.0|||||
|Ekilen Alan ve 01.13.49.03.02. (Turp (Kırmızı)) - Dekar|2013||40.0||285.0||100.0|
||2014|600.0|40.0||250.0||100.0|
||2015|600.0|40.0||230.0||100.0|
||2016|600.0|40.0||230.0||100.0|
||2017|600.0|40.0||200.0||100.0|
||2018|600.0|40.0||200.0||50.0|
||2019|200.0|40.0||200.0||30.0|
||2020|100.0|40.0||60.0||30.0|
||2021|150.0|22.0||100.0||10.0|
||2022|100.0|29.0||141.0|||
||2023|300.0|13.0||135.0|||
||2024|100.0|63.0||135.0|||
||2025|75.0|86.0||130.0|||
|Üretim Miktarı ve 01.11.61.00.01. (Fasulye, Taze) - Ton|2013|4137.0|1747.0|120.0|6494.0|9369.0|3748.0|
||2014|4140.0|1750.0|120.0|6000.0|9350.0|12006.0|
||2015|3588.0|1750.0|120.0|6100.0|8883.0|12006.0|
||2016|3578.0|1743.0|200.0|7220.0|8051.0|12265.0|
||2017|3588.0|1750.0|180.0|6000.0|10150.0|12306.0|
||2018|3588.0|1500.0|180.0|5000.0|17228.0|12528.0|
||2019|2443.0|1500.0|180.0|5000.0|27150.0|12531.0|
||2020|1600.0|50.0|180.0|1275.0|21788.0|16800.0|
||2021|1600.0|33.0|180.0|1198.0|19635.0|6000.0|
